name,size,md5,last_modified
s3://s3-dev-etldata-001/inbound/CREO/Backfill/DatasetRow/DatasetRow_Backfill_Test_6.csv.gz,17000,69769935e5cd9a38eedd30e3b494e9f2,"Thu, 10 Aug 2023 02:55:25 GMT"
s3://s3-dev-etldata-001/inbound/CREO/Backfill/DatasetRow/DatasetRow_Backfill_Test_7.csv.gz,17000,64628c1b21e0b2e22b209ecba3aa370a,"Thu, 10 Aug 2023 02:55:58 GMT"
s3://s3-dev-etldata-001/inbound/CREO/Backfill/DatasetRow/DatasetRow_Backfill_Test_8.csv.gz,17000,9bb23583ab8187f834e2aa7219b906d9,"Thu, 10 Aug 2023 02:56:31 GMT"
s3://s3-dev-etldata-001/inbound/CREO/Backfill/DatasetRow/DatasetRow_Backfill_Test_9.csv.gz,17000,53d281f9376d2b59e478c83d8e169f56,"Thu, 10 Aug 2023 02:57:04 GMT"
s3://s3-dev-etldata-001/inbound/CREO/Backfill/DatasetValue/DatasetValue_Backfill_1.csv.gz,44170439,70175d609411aa546b97d165bf30386e-6,"Wed, 9 Aug 2023 15:05:22 GMT"
s3://s3-dev-etldata-001/inbound/CREO/Backfill/DatasetValue/DatasetValue_Backfill_10.csv.gz,46595162,29b4e5f86cc25a1f4d89473361a0c586-6,"Wed, 9 Aug 2023 15:05:31 GMT"
s3://s3-dev-etldata-001/inbound/CREO/Backfill/DatasetValue/DatasetValue_Backfill_100.csv.gz,48666969,285e944275bda7124b8be3cdfd95a21d-6,"Wed, 9 Aug 2023 15:05:39 GMT"
s3://s3-dev-etldata-001/inbound/CREO/Backfill/DatasetValue/DatasetValue_Backfill_1000.csv.gz,49154078,42ecfa67c64d1cefa92a9ab0d8bf5699-6,"Wed, 9 Aug 2023 16:16:18 GMT"
s3://s3-dev-etldata-001/inbound/CREO/Backfill/DatasetValue/DatasetValue_Backfill_1001.csv.gz,49519232,382421a07c461f3ddc87c9273b16f851-6,"Wed, 9 Aug 2023 16:16:27 GMT"
s3://s3-dev-etldata-001/inbound/CREO/Backfill/DatasetValue/DatasetValue_Backfill_1002.csv.gz,48607582,b2f074adff159b85fc834aa413faa3c5-6,"Wed, 9 Aug 2023 16:16:35 GMT"
s3://s3-dev-etldata-001/inbound/CREO/Backfill/DatasetValue/DatasetValue_Backfill_1003.csv.gz,48851276,1713400e3886abc187539da9714e82f8-6,"Wed, 9 Aug 2023 16:16:45 GMT"
s3://s3-dev-etldata-001/inbound/CREO/Backfill/DatasetValue/DatasetValue_Backfill_1004.csv.gz,49034300,d1180526e7e41be24fdcdbe3b6d654c5-6,"Wed, 9 Aug 2023 16:16:56 GMT"
s3://s3-dev-etldata-001/inbound/CREO/Backfill/DatasetValue/DatasetValue_Backfill_1005.csv.gz,48602320,92073d2310a114ca7d87277a09133b5e-6,"Wed, 9 Aug 2023 16:17:07 GMT"
s3://s3-dev-etldata-001/inbound/CREO/Backfill/DatasetValue/DatasetValue_Backfill_1006.csv.gz,48668473,2aa60d4c88645d76a256cda306a30eaf-6,"Wed, 9 Aug 2023 16:17:19 GMT"
s3://s3-dev-etldata-001/inbound/CREO/Backfill/DatasetValue/DatasetValue_Backfill_1007.csv.gz,48429115,165a2a16d44170f6186a4b8e5a131690-6,"Wed, 9 Aug 2023 16:17:27 GMT"
s3://s3-dev-etldata-001/inbound/CREO/Backfill/DatasetValue/DatasetValue_Backfill_1008.csv.gz,48921419,f8a9ff67f0aed7707e3f8786d966f0a7-6,"Wed, 9 Aug 2023 16:17:35 GMT"
s3://s3-dev-etldata-001/inbound/CREO/Backfill/DatasetValue/DatasetValue_Backfill_1009.csv.gz,49608745,0bd06197226bbb35e153ed74e242b313-6,"Wed, 9 Aug 2023 16:17:45 GMT"
s3://s3-dev-etldata-001/inbound/CREO/Backfill/DatasetValue/DatasetValue_Backfill_101.csv.gz,47951741,4913cd1e285d717fb6ccb5a570f32347-6,"Wed, 9 Aug 2023 15:05:45 GMT"
s3://s3-dev-etldata-001/inbound/CREO/Backfill/DatasetValue/DatasetValue_Backfill_1010.csv.gz,49426412,297d16b14fd8fa254d2f42947f3c5dd1-6,"Wed, 9 Aug 2023 16:17:54 GMT"
s3://s3-dev-etldata-001/inbound/CREO/Backfill/DatasetValue/DatasetValue_Backfill_1011.csv.gz,49308139,9a7bd5257c36e647d4f8077eed4113a8-6,"Wed, 9 Aug 2023 16:18:01 GMT"
