TABLE_NAME,COLUMN_NAME,DATA_TYPE,COLLATION,NULLABLE,DEFINITION
Rule,"""WEIGHT""","""INT""","""""","""NULL""",WEIGHT INT  NULL
Rule,"""CONTAINER_KEY""","""INT""","""""","""NULL""",CONTAINER_KEY INT  NULL
Config,"""CONFIG_KEY""","""INT""","""""","""NOT NULL""",CONFIG_KEY INT  NOT NULL
Config,"""NAME""","""VARCHAR(8000)""","""COLLATE en-ci""","""NOT NULL""",NAME VARCHAR(8000) COLLATE en-ci NOT NULL
Config,"""VALUE""","""VARCHAR(8000)""","""COLLATE en-ci""","""NOT NULL""",VALUE VARCHAR(8000) COLLATE en-ci NOT NULL
PackageTemplate,"""PACKAGE_KEY""","""INT""","""""","""NOT NULL""",PACKAGE_KEY INT  NOT NULL
PackageTemplate,"""TEMPLATE_KEY""","""INT""","""""","""NOT NULL""",TEMPLATE_KEY INT  NOT NULL
TemplateRule,"""TEMPLATE_KEY""","""INT""","""""","""NOT NULL""",TEMPLATE_KEY INT  NOT NULL
TemplateRule,"""RULE_KEY""","""INT""","""""","""NOT NULL""",RULE_KEY INT  NOT NULL
FolderContact,"""CONTACT_KEY""","""INT""","""""","""NOT NULL""",CONTACT_KEY INT  NOT NULL
FolderContact,"""FOLDER_KEY""","""INT""","""""","""NOT NULL""",FOLDER_KEY INT  NOT NULL
Message,"""MESSAGE_KEY""","""BIGINT""","""""","""NOT NULL""",MESSAGE_KEY BIGINT  NOT NULL
Message,"""SUBJECT""","""VARCHAR(8000)""","""COLLATE en-ci""","""NULL""",SUBJECT VARCHAR(8000) COLLATE en-ci NULL
Message,"""DATE_ENTERED""","""TIMESTAMP_LTZ""","""""","""NOT NULL""",DATE_ENTERED TIMESTAMP_LTZ  NOT NULL
Message,"""DATE_SENT""","""TIMESTAMP_LTZ""","""""","""NULL""",DATE_SENT TIMESTAMP_LTZ  NULL
Message,"""EXCEPTION""","""VARCHAR(8000)""","""COLLATE en-ci""","""NULL""",EXCEPTION VARCHAR(8000) COLLATE en-ci NULL
Message,"""CONTAINER_KEY""","""INT""","""""","""NULL""",CONTAINER_KEY INT  NULL
Message,"""COMMUNICATION_MAILING_KEY""","""INT""","""""","""NULL""",COMMUNICATION_MAILING_KEY INT  NULL
Message,"""TEMPLATE_KEY""","""INT""","""""","""NULL""",TEMPLATE_KEY INT  NULL
Message,"""IS_PRODUCTION""","""BOOLEAN""","""""","""NOT NULL""",IS_PRODUCTION BOOLEAN  NOT NULL
Message,"""DATASET_ROW_KEY""","""BIGINT""","""""","""NULL""",DATASET_ROW_KEY BIGINT  NULL
Message,"""SERVER""","""VARCHAR(8000)""","""COLLATE en-ci""","""NULL""",SERVER VARCHAR(8000) COLLATE en-ci NULL
Message,"""MESSAGE_ID""","""VARCHAR(36)""","""""","""NOT NULL""",MESSAGE_ID VARCHAR(36)  NOT NULL
Message,"""TYPE""","""SMALLINT""","""""","""NULL""",TYPE SMALLINT  NULL
Message,"""NUM_EXCEPTIONS""","""INT""","""""","""NOT NULL""",NUM_EXCEPTIONS INT  NOT NULL
Message,"""DELIVERY_STATUS_KEY""","""INT""","""""","""NULL""",DELIVERY_STATUS_KEY INT  NULL
Message,"""IN_REPLY_TO_MESSAGE_KEY""","""BIGINT""","""""","""NULL""",IN_REPLY_TO_MESSAGE_KEY BIGINT  NULL
